ID_prov,Provinsi,ID_region
1,NANGGROE ACEH DARUSALAM,1
7,KEPULAUAN BANGKA BELITUNG,1
14,KEPULAUAN RIAU,1
23,LAMPUNG,1
24,BENGKULU,1
27,JAMBI,1
28,SUMATERA UTARA,1
29,SUMATERA BARAT,1
30,SUMATERA SELATAN,1
31,RIAU,1
5,KALIMANTAN SELATAN,2
10,KALIMANTAN TENGAH,2
12,KALIMANTAN BARAT,2
22,KALIMANTAN TIMUR,2
32,KALIMANTAN UTARA,2
6,JAWA BARAT,3
8,JAWA TIMUR,3
11,JAWA TENGAH,3
25,BANTEN,3
26,DKI JAKARTA,3
33,DI YOGYAKARTA,3
2,NUSA TENGGARA TIMUR,4
4,BALI,4
13,NUSA TENGGARA BARAT,4
9,SULAWESI SELATAN,5
15,GORONTALO,5
16,SULAWESI UTARA,5
17,SULAWESI TENGAH,5
18,SULAWESI TENGGARA,5
34,SULAWESI BARAT,5
20,MALUKU UTARA,6
21,MALUKU,6
3,PAPUA,7
19,PAPUA BARAT,7
